country rate year 
Burundi 7.29 1970 
Burundi 7.3 1971 
Cambodia 6.96 1961 
Cambodia 6.96 1962 
Cambodia 6.94 1963 
Cambodia 6.91 1964 
Cambodia 6.87 1965 
Cambodia 6.81 1966 
Cambodia 6.75 1967 
Cambodia 6.67 1968 
Cambodia 6.57 1969 
Cambodia 6.47 1970 
Cambodia 6.33 1971 
Cameroon 5.71 1961 
Cameroon 5.77 1962 
Cameroon 5.83 1963 
Cameroon 5.89 1964 
Cameroon 5.95 1965 
Cameroon 6 1966 
Cameroon 6.06 1967 
Cameroon 6.11 1968 
Cameroon 6.16 1969 
Cameroon 6.2 1970 
Cameroon 6.25 1971 
Canada 3.81 1961 
Canada 3.7 1962 
Canada 3.56 1963 
Canada 3.38 1964 
Canada 3.18 1965 
Canada 2.96 1966 
Canada 2.75 1967 
Canada 2.56 1968 
Canada 2.38 1969 
Canada 2.23 1970 
Canada 2.11 1971 
Cape Verde 6.92 1961 
Cape Verde 6.95 1962 
Cape Verde 6.98 1963 
Cape Verde 6.99 1964 
Cape Verde 6.99 1965 
Cape Verde 6.99 1966 
Cape Verde 6.98 1967 
Cape Verde 6.97 1968 
Cape Verde 6.95 1969 
Cape Verde 6.94 1970 
Cape Verde 6.91 1971 
Central African Republic 5.87 1961 
Central African Republic 5.89 1962 
Central African Republic 5.91 1963 
Central African Republic 5.93 1964 
Central African Republic 5.94 1965 
Central African Republic 5.95 1966 
Central African Republic 5.95 1967 
Central African Republic 5.95 1968 
Central African Republic 5.95 1969 
Central African Republic 5.95 1970 
Central African Republic 5.95 1971 
Chad 6.27 1961 
Chad 6.29 1962 
Chad 6.3 1963 
Chad 6.32 1964 
Chad 6.34 1965 
Chad 6.36 1966 
Chad 6.39 1967 
Chad 6.43 1968 
Chad 6.48 1969 
Chad 6.53 1970 
Chad 6.58 1971 
Chile 5.05 1961 
Chile 5 1962 
Chile 4.93 1963 
Chile 4.84 1964 
Chile 4.75 1965 
Chile 4.63 1966 
Chile 4.5 1967 
Chile 4.35 1968 
Chile 4.19 1969 
Chile 4.02 1970 
Chile 3.84 1971 
China 3.28 1961 
China 5.97 1962 
China 7.41 1963 
China 6.12 1964 
China 6.02 1965 
China 6.21 1966 
China 5.25 1967 
China 6.37 1968 
China 5.67 1969 
China 5.75 1970 
China 5.4 1971 
Colombia 6.8 1961 
Colombia 6.78 1962 
Colombia 6.74 1963 
Colombia 6.67 1964 
Colombia 6.57 1965 
Colombia 6.43 1966 
Colombia 6.25 1967 
Colombia 6.03 1968 
Colombia 5.8 1969 
Colombia 5.55 1970 
Colombia 5.3 1971 
Comoros 6.85 1961 
Comoros 6.9 1962 
Comoros 6.94 1963 
Comoros 6.98 1964 
Comoros 7 1965 
Comoros 7.03 1966 
Comoros 7.04 1967 
Comoros 7.06 1968 
Comoros 7.06 1969 
Comoros 7.06 1970 
Comoros 7.06 1971 
Congo Dem. Rep. 6.02 1961 
Congo Dem. Rep. 6.03 1962 
Congo Dem. Rep. 6.05 1963 
Congo Dem. Rep. 6.07 1964 
Congo Dem. Rep. 6.09 1965 
Congo Dem. Rep. 6.11 1966 
Congo Dem. Rep. 6.14 1967 
Congo Dem. Rep. 6.16 1968 
Congo Dem. Rep. 6.19 1969 
Congo Dem. Rep. 6.21 1970 
Congo Dem. Rep. 6.24 1971 
Congo Rep. 5.92 1961 
Congo Rep. 5.97 1962 
Congo Rep. 6.01 1963 
Congo Rep. 6.05 1964 
Congo Rep. 6.09 1965 
Congo Rep. 6.14 1966 
Congo Rep. 6.18 1967 
Congo Rep. 6.22 1968 
Congo Rep. 6.25 1969 
Congo Rep. 6.29 1970 
Congo Rep. 6.32 1971 
Costa Rica 6.41 1961 
Costa Rica 6.32 1962 
Costa Rica 6.2 1963 
Costa Rica 6.04 1964 
Costa Rica 5.85 1965 
Costa Rica 5.63 1966 
Costa Rica 5.38 1967 
Costa Rica 5.12 1968 
Costa Rica 4.86 1969 
Costa Rica 4.61 1970 
Costa Rica 4.39 1971 
Cote d'Ivoire 7.43 1961 
Cote d'Ivoire 7.51 1962 
Cote d'Ivoire 7.58 1963 
Cote d'Ivoire 7.65 1964 
Cote d'Ivoire 7.71 1965 
Cote d'Ivoire 7.77 1966 
Cote d'Ivoire 7.82 1967 
Cote d'Ivoire 7.86 1968 
Cote d'Ivoire 7.89 1969 
Cote d'Ivoire 7.91 1970 
Cote d'Ivoire 7.93 1971 
Croatia 2.3 1961 
Croatia 2.27 1962 
Croatia 2.24 1963 
Croatia 2.21 1964 
Croatia 2.18 1965 
Croatia 2.14 1966 
Croatia 2.1 1967 
Croatia 2.07 1968 
Croatia 2.04 1969 
Croatia 2.01 1970 
Croatia 1.99 1971 
Cuba 4.36 1961 
Cuba 4.51 1962 
Cuba 4.61 1963 
Cuba 4.64 1964 
Cuba 4.62 1965 
Cuba 4.54 1966 
Cuba 4.43 1967 
Cuba 4.31 1968 
Cuba 4.18 1969 
Cuba 4.03 1970 
Cuba 3.86 1971 
Cyprus 3.47 1961 
Cyprus 3.42 1962 
Cyprus 3.35 1963 
Cyprus 3.25 1964 
Cyprus 3.13 1965 
Cyprus 3.01 1966 
Cyprus 2.89 1967 
Cyprus 2.78 1968 
Cyprus 2.69 1969 
Cyprus 2.61 1970 
Cyprus 2.55 1971 
Czech Republic 2.24 1961 
Czech Republic 2.2 1962 
Czech Republic 2.15 1963 
Czech Republic 2.1 1964 
Czech Republic 2.05 1965 
Czech Republic 2.01 1966 
Czech Republic 1.99 1967 
Czech Republic 1.99 1968 
Czech Republic 2.02 1969 
Czech Republic 2.06 1970 
Czech Republic 2.11 1971 
Denmark 2.55 1961 
Denmark 2.54 1962 
Denmark 2.64 1963 
Denmark 2.6 1964 
Denmark 2.61 1965 
Denmark 2.62 1966 
Denmark 2.35 1967 
Denmark 2.12 1968 
Denmark 2 1969 
Denmark 1.95 1970 
Denmark 2.04 1971 
Djibouti 6.49 1961 
Djibouti 6.53 1962 
Djibouti 6.56 1963 
Djibouti 6.6 1964 
Djibouti 6.63 1965 
Djibouti 6.67 1966 
Djibouti 6.7 1967 
Djibouti 6.74 1968 
Djibouti 6.77 1969 
Djibouti 6.8 1970 
Djibouti 6.83 1971 
Dominican Republic 7.49 1961 
Dominican Republic 7.4 1962 
Dominican Republic 7.3 1963 
Dominican Republic 7.19 1964 
Dominican Republic 7.05 1965 
Dominican Republic 6.9 1966 
Dominican Republic 6.74 1967 
Dominican Republic 6.56 1968 
Dominican Republic 6.38 1969 
Dominican Republic 6.18 1970 
Dominican Republic 5.98 1971 
Ecuador 6.7 1961 
Ecuador 6.68 1962 
Ecuador 6.65 1963 
Ecuador 6.61 1964 
Ecuador 6.56 1965 
Ecuador 6.51 1966 
Ecuador 6.44 1967 
Ecuador 6.35 1968 
Ecuador 6.25 1969 
Ecuador 6.14 1970 
Ecuador 6.01 1971 
Egypt 6.7 1961 
Egypt 6.67 1962 
Egypt 6.65 1963 
Egypt 6.62 1964 
Egypt 6.58 1965 
Egypt 6.53 1966 
Egypt 6.47 1967 
Egypt 6.4 1968 
Egypt 6.32 1969 
Egypt 6.23 1970 
Egypt 6.14 1971 
El Salvador 6.68 1961 
El Salvador 6.67 1962 
El Salvador 6.65 1963 
El Salvador 6.61 1964 
El Salvador 6.55 1965 
El Salvador 6.49 1966 
El Salvador 6.42 1967 
El Salvador 6.34 1968 
El Salvador 6.26 1969 
El Salvador 6.17 1970 
El Salvador 6.09 1971 
Equatorial Guinea 5.66 1961 
Equatorial Guinea 5.67 1962 
Equatorial Guinea 5.69 1963 
Equatorial Guinea 5.71 1964 
Equatorial Guinea 5.73 1965 
Equatorial Guinea 5.76 1966 
Equatorial Guinea 5.78 1967 
Equatorial Guinea 5.79 1968 
Equatorial Guinea 5.8 1969 
Equatorial Guinea 5.81 1970 
Equatorial Guinea 5.81 1971 
Eritrea 6.87 1961 
Eritrea 6.84 1962 
Eritrea 6.81 1963 
Eritrea 6.78 1964 
Eritrea 6.75 1965 
Eritrea 6.73 1966 
Eritrea 6.71 1967 
Eritrea 6.69 1968 
Eritrea 6.67 1969 
Eritrea 6.65 1970 
Eritrea 6.64 1971 
Estonia 1.95 1961 
Estonia 1.94 1962 
Estonia 1.95 1963 
Estonia 1.95 1964 
Estonia 1.97 1965 
Estonia 1.99 1966 
Estonia 2.01 1967 
Estonia 2.04 1968 
