Dataenergy_production_total.csv
,
3
year,country,rate
1988,Nepal,5250
1989,Nepal,5370
1990,Nepal,5500
1991,Nepal,5620
1992,Nepal,5730
1993,Nepal,5860
1994,Nepal,5990
1995,Nepal,6140
1996,Nepal,6270
1997,Nepal,6400
1998,Nepal,6540
1999,Nepal,6710
2000,Nepal,7140
2001,Nepal,7340
2002,Nepal,7620
2003,Nepal,7790
2004,Nepal,7970
2005,Nepal,8150
2006,Nepal,8300
2007,Nepal,8460
2008,Nepal,8640
2009,Nepal,8820
1960,Netherlands,10200
1961,Netherlands,10500
1962,Netherlands,9980
1963,Netherlands,10100
1964,Netherlands,10400
1965,Netherlands,11100
1966,Netherlands,11400
1967,Netherlands,12800
1968,Netherlands,17200
1969,Netherlands,22400
1970,Netherlands,28900
1971,Netherlands,37300
1972,Netherlands,47800
1973,Netherlands,56800
1974,Netherlands,66700
1975,Netherlands,71300
1976,Netherlands,76300
1977,Netherlands,76000
1978,Netherlands,70000
1979,Netherlands,73500
1980,Netherlands,71800
1981,Netherlands,66800
1982,Netherlands,57500
1983,Netherlands,61800
1984,Netherlands,62900
1985,Netherlands,66300
1986,Netherlands,62300
1987,Netherlands,61900
1988,Netherlands,55300
1989,Netherlands,59500
1990,Netherlands,60500
1991,Netherlands,67400
1992,Netherlands,67400
1993,Netherlands,68500
1994,Netherlands,66400
1995,Netherlands,66700
1996,Netherlands,74600
1997,Netherlands,66200
1998,Netherlands,63700
1999,Netherlands,59500
2000,Netherlands,57600
2001,Netherlands,61500
2002,Netherlands,60700
2003,Netherlands,58700
2004,Netherlands,68000
2005,Netherlands,62200
2006,Netherlands,61100
2007,Netherlands,61300
2008,Netherlands,66600
2009,Netherlands,63100
2010,Netherlands,69700
1960,New Zealand,2490
1961,New Zealand,2580
1962,New Zealand,2700
1963,New Zealand,3030
1964,New Zealand,3350
1965,New Zealand,3380
1966,New Zealand,3420
1967,New Zealand,3150
1968,New Zealand,3250
1969,New Zealand,3320
1970,New Zealand,3400
1971,New Zealand,3420
1972,New Zealand,3840
1973,New Zealand,4050
1974,New Zealand,4580
1975,New Zealand,4800
1976,New Zealand,5440
1977,New Zealand,6100
1978,New Zealand,5960
1979,New Zealand,5280
1980,New Zealand,5470
1981,New Zealand,5770
1982,New Zealand,6680
1983,New Zealand,7140
1984,New Zealand,7990
1985,New Zealand,8950
1986,New Zealand,9880
1987,New Zealand,9680
1988,New Zealand,10400
1989,New Zealand,11500
1990,New Zealand,11500
1991,New Zealand,12100
1992,New Zealand,12400
1993,New Zealand,12900
1994,New Zealand,12600
1995,New Zealand,12700
1996,New Zealand,13800
1997,New Zealand,14500
1998,New Zealand,13400
1999,New Zealand,13700
2000,New Zealand,14100
2001,New Zealand,14200
2002,New Zealand,14600
2003,New Zealand,13400
2004,New Zealand,13000
2005,New Zealand,12600
2006,New Zealand,13100
2007,New Zealand,14000
2008,New Zealand,15000
2009,New Zealand,15200
2010,New Zealand,16600
1960,Nicaragua,
1961,Nicaragua,
1962,Nicaragua,
1963,Nicaragua,
1964,Nicaragua,
1965,Nicaragua,
1966,Nicaragua,
1967,Nicaragua,
1968,Nicaragua,
1969,Nicaragua,
1970,Nicaragua,
1971,Nicaragua,736
1972,Nicaragua,758
1973,Nicaragua,796
1974,Nicaragua,822
1975,Nicaragua,852
1976,Nicaragua,888
1977,Nicaragua,881
1978,Nicaragua,890
1979,Nicaragua,918
1980,Nicaragua,907
1981,Nicaragua,921
1982,Nicaragua,951
1983,Nicaragua,976
1984,Nicaragua,1220
1985,Nicaragua,1300
1986,Nicaragua,1220
1987,Nicaragua,1230
1988,Nicaragua,1260
1989,Nicaragua,1440
1990,Nicaragua,1500
1991,Nicaragua,1540
1992,Nicaragua,1520
1993,Nicaragua,1510
1994,Nicaragua,1490
1995,Nicaragua,1500
1996,Nicaragua,1550
1997,Nicaragua,1600
1998,Nicaragua,1460
1999,Nicaragua,1480
2000,Nicaragua,1550
2001,Nicaragua,1540
2002,Nicaragua,1660
2003,Nicaragua,1810
2004,Nicaragua,1930
2005,Nicaragua,1950
2006,Nicaragua,2090
2007,Nicaragua,1660
2008,Nicaragua,1690
2009,Nicaragua,1710
1960,Nigeria,
1961,Nigeria,
1962,Nigeria,
1963,Nigeria,
1964,Nigeria,
1965,Nigeria,
1966,Nigeria,
1967,Nigeria,
1968,Nigeria,
1969,Nigeria,
1970,Nigeria,
1971,Nigeria,112000
1972,Nigeria,127000
1973,Nigeria,140000
1974,Nigeria,151000
1975,Nigeria,128000
1976,Nigeria,144000
1977,Nigeria,146000
1978,Nigeria,137000
1979,Nigeria,159000
1980,Nigeria,149000
1981,Nigeria,119000
1982,Nigeria,113000
1983,Nigeria,112000
1984,Nigeria,121000
1985,Nigeria,128000
1986,Nigeria,128000
1987,Nigeria,123000
1988,Nigeria,132000
1989,Nigeria,148000
1990,Nigeria,151000
1991,Nigeria,157000
1992,Nigeria,162000
1993,Nigeria,165000
1994,Nigeria,166000
1995,Nigeria,169000
1996,Nigeria,182000
1997,Nigeria,194000
1998,Nigeria,189000
1999,Nigeria,188000
2000,Nigeria,202000
2001,Nigeria,211000
2002,Nigeria,196000
2003,Nigeria,216000
2004,Nigeria,230000
2005,Nigeria,233000
2006,Nigeria,235000
2007,Nigeria,231000
2008,Nigeria,228000
2009,Nigeria,229000
1960,North Korea,
1961,North Korea,
1962,North Korea,
1963,North Korea,
1964,North Korea,
1965,North Korea,
1966,North Korea,
1967,North Korea,
1968,North Korea,
1969,North Korea,
1970,North Korea,
1971,North Korea,18200
1972,North Korea,18700
1973,North Korea,19100
1974,North Korea,19700
1975,North Korea,20500
1976,North Korea,21700
1977,North Korea,23000
1978,North Korea,24100
1979,North Korea,25600
1980,North Korea,27200
1981,North Korea,28100
1982,North Korea,29500
1983,North Korea,29700
1984,North Korea,30500
1985,North Korea,31800
1986,North Korea,31500
1987,North Korea,31000
1988,North Korea,30600
1989,North Korea,30400
1990,North Korea,28900
1991,North Korea,28100
1992,North Korea,24500
1993,North Korea,22500
1994,North Korea,21300
1995,North Korea,20000
1996,North Korea,17900
1997,North Korea,17400
1998,North Korea,15900
1999,North Korea,17700
2000,North Korea,18800
2001,North Korea,19300
2002,North Korea,18700
2003,North Korea,19300
2004,North Korea,20200
2005,North Korea,22000
2006,North Korea,22300
2007,North Korea,19700
2008,North Korea,20800
2009,North Korea,20300
1960,North Macedonia,
1961,North Macedonia,
1962,North Macedonia,
1963,North Macedonia,
1964,North Macedonia,
1965,North Macedonia,
1966,North Macedonia,
1967,North Macedonia,
1968,North Macedonia,
1969,North Macedonia,
1970,North Macedonia,
1971,North Macedonia,
1972,North Macedonia,
1973,North Macedonia,
1974,North Macedonia,
1975,North Macedonia,
1976,North Macedonia,
1977,North Macedonia,
1978,North Macedonia,
1979,North Macedonia,
1980,North Macedonia,
1981,North Macedonia,
1982,North Macedonia,
1983,North Macedonia,
1984,North Macedonia,
1985,North Macedonia,
1986,North Macedonia,
1987,North Macedonia,
1988,North Macedonia,
1989,North Macedonia,
1990,North Macedonia,1260
1991,North Macedonia,1350
1992,North Macedonia,1540
1993,North Macedonia,1510
1994,North Macedonia,1510
1995,North Macedonia,1600
1996,North Macedonia,1570
1997,North Macedonia,1490
1998,North Macedonia,1750
1999,North Macedonia,1630
2000,North Macedonia,1540
2001,North Macedonia,1580
2002,North Macedonia,1510
